No.,Nombre Unidad Recreativa,Escenarios Disponibles ,Direccion,Comuna,Cancha baloncesto,Cancha de tejo,Cancha de tenis,Cancha Futbol 5,Cancha Futbol 8,Cancha Futbol 11,Cancha Hockey,Cancha Multiple,Cancha Sintetica,Cancha Voleibol,Gimnasio,Juegos Biosaludables,Juegos Infantiles,Piscina adultos,Piscina Niños,Pista bicicros,Pista de trote,Pista patinaje,Kiosco,Sauna,Teatrino
344,Cancha De Futbol Kaliman Las Orquídeas,Cancha De Futbol 11 Juegos Infantiles,C 107B CON K 28 - 4,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
345,Parque Recreativo Las Orquídeas,Cancha De Futbol 11 Cancha Múltiple Juegos Infantiles,C 114 Y 117 CON K 27D Y 27F,14,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
346,Parque Puertas Del Sol Iv,,C 94 CON K 26D,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,Coliseo Puertas Del Sol Iv,,C 94 CON K 26G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,Parque Recreativo Morichal De Comfandi,,C 54E CON K 42D,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,Parque Recreativo Morichal I,Cancha Múltiple Juegos Infantiles,K 43B CON C 57,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
350,Parque Recreativo Morichal II,Cancha Múltiple Juegos Infantiles,K 28B CON C 56C,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
351,Parque Recreativo Morichal III,Cancha Múltiple Juegos Infantiles,K 43B Y 44C CON C 55 Y 56,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
352,Parque Recreativo Comuneros I,Cancha De Futbol 11 Cancha Múltiple Juegos Infantiles,K 32A CON C 57,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
353,Parque Recreativo el Pascualito El Vallado II,Cancha De Futbol 11 Cancha Múltiple,K 39C Y 40 CON 57,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Parque Recreativo Los Bomberos El Vallado II,Cancha Múltiple,K 39G Y 39H CON C 56 Y 57,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
355,Polideportivo  Barrio Ciudad Cordoba Sector 1a,Cancha De Futbol 11 (2) Cancha Baloncesto (4) Pista Trote Juegos Infantiles,K 46 Y 49D  CON C 50 Y 51,15,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
356,Parque Recreativo Bajo De Ciudad Cordoba ,Cancha Múltiple (2) Pista Trote Juegos Infantiles,K 41E 3 CON C 55 Y 56,15,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
357,Polideportivo Barrio Ciudad Cordoba Sector 3,Cancha De Futbol 11 Cancha Múltiple Pista Trote Juegos Infantiles,K 42B Y 46 CON C 50 Y 51,15,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
358,Polideportivo Barrio Ciudad Cordoba Sector 3a Y 3b,Cancha De Futbol 11 (2) Cancha Baloncesto (2) Pista Patinaje Pista Trote Juegos Infantiles,K 41B Y 42B CON C 50 Y 51,15,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
359,Polideportivo Barrio El Vallado,Cancha Múltiple (2) Cancha Sintética (2) Pista Patinaje Juegos Infantiles,K 41B CON C 50 Y 51,15,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0
360,Unidad Recreativa El Vallado,Cancha De Futbol 11 Cancha Múltiple (3) Piscina Niños Piscina Adultos,K 41 # 54 - 55,15,0,0,0,0,0,1,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0
361,Unidad Recreativa Laureano Gomez,Cancha Múltiple (2) Piscina Adultos,K 32A # 49 - 45,15,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
362,Cancha Múltiple Comuneros I,Cancha Múltiple,K 28F CON C 74,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
363,Cancha Múltiple Comuneros I,Cancha Múltiple Juegos Infantiles,K 32C CON C 55A,15,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
364,Cancha De Futbol Montebello Mojica II,Cancha De Futbol 11,K 28E 3 Y 28E 6 CON C 79 Y 83,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,Parque La Bombonera Mojica II,Cancha Múltiple Juegos Infantiles,K 28D Y 2D4 CON C 81,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
366,Cancha Múltiple Suley Vallado I,Cancha Múltiple,K 39H CON C 49,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
367,Cancha Múltiple Ciudad Cordoba Sector 3,Cancha Múltiple,K 41E 2 CON C 51,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
368,Parque Recreativo La Amistad El Vallado II,Cancha Múltiple,K 38 Y 38B CON C 56,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
369,Parque Recreativo Cancha Gemelas Mojicas II,Cancha Futbol 8 Cancha Múltiple (2) Juegos Infantiles,K 28E 2 CON C 72Y Y 72Z 2,15,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
370,Cancha Múltiple Secon Barrio El Retiro,Cancha Múltiple,K 33C CON C 84A,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
371,Cancha Múltiple Barrio El Retiro,Cancha Múltiple,K 39A Y 39B CON C 48A Y 49,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
372,Cancha Múltiple África Barrio El Retiro,Cancha Múltiple,K 39 CON C 54,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
373,Cancha Múltiple Guadalaja El Vallado II,Cancha Múltiple,K 39B Y 39C CON C 56,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Cancha Baloncesto La Colmena Barrio El Vallado,Cancha Baloncesto,K 40B Y 41 CON C 52 Y 52A,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Cancha De Futbol Barrio el Retiro,Cancha De Futbol 11,K 36 CON C 48A,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Kiosco Morichal II,Kiosco,K 43B Y 44C CON C 55 Y 56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
377,Kiosco Bajos De Ciudad Cordoba,Kiosco,K 41E 3 CON C 55 Y 56,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
378,Parque Recreativo Antonio Nariño,Cancha Múltiple Juegos Infantiles,K 40 CON C 43,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
379,Parque Recreativo Republica De Israel,Cancha Futbol 5 (2) Cancha Múltiple ,K 43 CON C 41,16,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Unidad Recreativa Mariano Ramos,Cancha De Futbol 11 Cancha Futbol 5 Cancha Sintética  Cancha Baloncesto (3) Pista Trote Gimnasio Piscina Adultos Piscina Niños Juegos Infantiles,C 36 Y 40 CON K 48 Y 50,16,3,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0
381,Parque Recreativo Mariano Ramos,Cancha Múltiple (2) Juegos Infantiles,K 47 CON C 40,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
382,Polideportivo Ciudad 2000,Cancha De Futbol 11 Cancha Múltiple Cancha Sintética Juegos Infantiles,C 34 CON K 68 Y 68A,16,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
383,Unidad Deportiva Las Palmas Antonio Nariño,Cancha De Futbol 11 Cancha Sintética Piscina Niños Piscina Adultos ,K 40 CON C 44,16,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
384,Polideportivo Cristo Maestro Barrio La Unión,Cancha De Futbol 11 Cancha Futbol 5 Cancha Baloncesto Pista Trote Juegos Infantiles,K 41H CON C 44 Y 46,16,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
385,Unidad Recreativa Marino Rengifo Barrio Union De Vivienda Popular,Cancha Sintética Cancha Baloncesto Cancha Voleibol Piscina Niños Piscina Adultos Juegos Infantiles,K 41H # 38 - 75,16,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
386,Polideportivo Republica De Israel,Cancha De Futbol 11 Cancha Futbol 5 Cancha Múltiple Cancha Baloncesto (2) Juegos Infantiles,K 43 Y 43B CON C 44 Y 46,16,2,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
387,Polideportivo Cancha Futbol Sport Boys,Cancha De Futbol 11 Cancha Múltiple Juegos Infantiles,K 47B Y 48 CON C 44 Y 46,16,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
388,Polideportivo Unión De Vivienda Popular,Cancha Futbol 5 Cancha Baloncesto Pista Patinaje,K 41H CON C 38,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
389,Cancha Múltiple Barrio Ciudad Cordoba,Cancha Múltiple Juegos Infantiles,K 49A Y 50 CON C 46,16,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
390,Cancha Sintética Ciudad 2000,,C 34  # 68A - 21,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Cancha Sintética Republica De Israel ,Cancha Sintética,K 43B CON C 38 Y 39A,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
392,Cancha De Futbol 5 Brisas Del Limonar,Cancha Futbol 5 Juegos Infantiles,D 58 CON C42,16,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
393,Cancha De Futbol Nuevo Rey ,Cancha De Futbol 11,K 70 CON C 11 Y  12,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,Cancha De Futbol Barrio El Caney,Cancha De Futbol 11,C 42 Y 45 CON K 80,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,Cancha De Futbol Gran Limonar Cataya,Cancha De Futbol 11,K 65 CON C11A,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,Cancha De Futbol Primero De Mayo, Cancha De Futbol 11,K 56 Y 57 CON C 13F Y 14,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Cancha Múltiple Bosques Del Limonar,Cancha Múltiple,K 63 CON C 15,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
399,Cancha Múltiple El Limonar,Cancha Múltiple,C 13A CON K 68 Y68A,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
400, ,CANCHA MÚLTIPLE (2) CANCHA VOLEIBOL PISCINA ADULTOS PISCINA NIÑOS JUEGOS INFANTILES,K 61 # 18A - 35,17,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0
401,Unidad Recreativa Primero De Mayo,Cancha Múltiple Piscina Niños Juegos Infantiles,K 50 Y 51 CON C 13E Y 13F,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0
402,Unidad Recreativa Ciudadela De Comfandi,Cancha De Futbol 11 Cancha Futbol 5 Cancha Múltiple,K 80 Y 81 CON C 38,17,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
403,Parque Recreativo Altos De Caney,,K 85C CON C 42,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Parque Recreativo El Caney,Cancha Futbol 5 (2) Cancha Múltiple ,K 85 CON  C 36 Y 42,17,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
405,Parque Recreativo Primero De Mayo,Cancha Futbol 5 Cancha Múltiple Pista Trote Juegos Infantiles,K 57 CON C 13C Y 14,17,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
406,Parque Recreativo Cañaveral 3,Cancha Futbol 5 Cancha Múltiple Juegos Infantiles,K 62 Y 63 CON C 18,17,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
407,Parque Recreativo Ciudad Capri,Cancha Múltiple Cancha baloncesto Cancha Voleibol Pista Trote Juegos Infantiles,K 76 CON C 10,17,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
408,Parque Recreativo Santa Anita,Cancha Futbol 5 Cancha Múltiple Cancha Baloncesto Cancha Voleibol Pista Trote Juegos Infantiles,C 11 Y 11A CON K 51 Y 53,17,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0
409,Parque Recreativo Villa Campestre Del Rio II,Cancha Múltiple ,C 14C CON K 74 Y 75A,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
410,Cancha De Baloncesto Barrio Caney Especial,Cancha Baloncesto Pista Trote,K 74 CON C 36 Y 38,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
411,Parque Recreativo Barrio Las Camelias,,C 14 CON K 50 Y 50A,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
412,Parque Recreativo Santa Ana,Cancha Futbol 8 Cancha Futbol 5 Cancha Múltiple Cancha Baloncesto Pista Trote, K 60 CON C 11 Y 13,17,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
413,Parque Recreativo La Hacienda,Cancha Múltiple (2) Cancha Futbol 5 Pista Trote Juegos Infantiles,C 15 CON K 68,17,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
414,Parque Recreativo Mayapan ,Cancha Múltiple Cancha Voleibol Juegos Infantiles,K 80 Y 81 CON C 6A,17,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
415,Cancha De Futbol Prados Del Limonar,Cancha De Futbol 11 Pista Trote Juegos Infantiles,K 77 Y 78 CON C 15 Y 17,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
416,Kiosco Bosques Del Limonar,Kiosco,C 14C CON K 65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
417,Kiosco Tercera Edad Capri,Kiosco,C 10A # 78A - 05,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
418,Kiosco Adulto Mayor Bosques Del Limonar,Kiosco,C 13E # 64 - 08,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
419,Polideportivo La Playa,Cancha Múltiple Juegos Infantiles,K 96 # 7A - 01,17,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
420,Parque Recreativo Bosques Del Limonar,Cancha De Futbol 11 Cancha Múltiple Cancha Tenis Pista Trote Juegos Infantiles,C 14C CON K 65,17,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
421,Parque Recreativo Bosques Del Limonar,Cancha Futbol 5 Pista Trote Juegos Infantiles,C 13A CON K 66B,17,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
422,Parque Recreativo Ciudadela Comfandi,Cancha De Futbol 11 Cancha Múltiple,K 83 CON C 34,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
423,Polideportivo Francisco Eladio,Cancha De Futbol 11 Cancha Múltiple (2) Pista Trote Juegos Infantiles,K 76B Y 77 CON  C 3 Y 3D,18,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
424,Parque Recreativo Buenos Aires,Cancha Múltiple Juegos Infantiles,C 3C CON K 70 Y 72,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
425,Parque Recreativo Los Farallones,Cancha Múltiple (2) Cancha Baloncesto Pista Trote Pista Trote,K 74 CON C 1C BIS,18,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
426,Unidad Recreativa Horizontes Wembley,Cancha De Futbol 11 Cancha Baloncesto Piscinas Adultos Piscinas Niños Juegos Infantiles,K 94 CON C 4,18,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
427,Unidad Recreativa Quintas Del Refugio,Cancha Múltiple Cancha Voleibol Piscina Niños Piscina Adultos Juegos infantiles,K 68 # 1B - 34,18,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0
428,Parque Recreativo Prados Del Sur,Cancha De Futbol 11 Cancha Baloncesto Juegos Infantiles,K 76 CON C 1B Y 1C,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
429,Cancha De Baloncesto Buenos Aires,Cancha Baloncesto,C 2C CON K 71,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,Cancha De Baloncesto Barrio Alférez Real,Cancha Baloncesto Juegos Infantiles,C 3D CON K 73,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
431,Cancha Baloncesto Servivienda Barrio Bajo Polvorines,Cancha Baloncesto Juegos Infantiles,C 1 O CON K 94C,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
432,Cancha Múltiple Barrio Los Chorros,Cancha Múltiple,K 74 CON C 2C 4 O,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
433,Cancha Múltiple Barrio La Arbolada,Cancha Múltiple,C 3 O CON 93 BIS,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
434,Cancha Múltiple Las Piñuelas Barrio Alto Melendez,Cancha Múltiple,C 1A 1 O CON K 96,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
435,Polideportivo Barrio Colinas Del Sur,Cancha De Futbol 11 Cancha Futbol 5 Juegos Infantiles,C 2A CON K 76 Y 79,18,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
436,Kiosco Barrio Lourdes,Kiosco,K 73 CON 1E O,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
437,Unidad Recreativa Lourdes,Cancha De Futbol 11 Cancha Múltiple Juegos Infantiles,K 70 # 1A - 13,18,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
438,Parque Recreativo Barrio Alférez Real,Cancha Múltiple Juegos Infantiles,C 3 CON 73,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
439,Parque Recreativo Barrio Nápoles,Cancha Múltiple Pista Trote Juegos Infantiles,K 78 CON C 3D,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
440,Parque Recreativo Los Mandarinos ,Cancha Múltiple Juegos Infantiles,C 2B O CON K 94,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
441,Parque Recreativo Escobar Navia Barrio Lourdes,Cancha Múltiple Juegos Infantiles,C 1B CON K 73D,18,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
442,Barrio Alto Nápoles Sector Polvo Rojo,Cancha De Futbol 11 Juegos Infantiles,K 78A Y 80 CON C 2 Y 2A,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
443,Parque Recreativo El Refugio,Cancha Futbol 5 Cancha Baloncesto Pista Trote,C 3 CON K 66B Y 67,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
444,Parque Recreativo Camino Real,Cancha Baloncesto Juegos Infantiles,C 8F Y 8G CON K 52,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
445,Parque Recreativo El Limonar,Cancha Múltiple Pista Trote Juegos Infantiles,C 9 Y 9D CON K 62 Y 62C,19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
446,Parque Recreativo Joaquín Botero Sinisterra,Cancha Baloncesto Juegos Infantiles,C 6 CON K 59A,19,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
447,Parque Recreativo Pampalinda,Cancha Futbol 8 Cancha Futbol 5 Cancha Múltiple Pista Trote Juegos Infantiles,C 2 Y 2A CON K 57 Y 63A,19,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
448,Parque Recreativo Urbanización Niza,Pista Trote Juegos Infantiles,C 9D CON K 61,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
449,Parque Recreativo Los Cambulos,Cancha Múltiple Juegos Infantiles,C 9C CON K 42A,19,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
450,Polideportivo La Cascada,Cancha De Futbol 11 Pista Trote Juegos Infantiles,C 2 Y 3C CON K 65,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
451,Unidad Deportiva Alberto Galindo,,K 52 CON  C 22,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Unidad Recreativa Cañaveralejo,Cancha Múltiple Pista Trote Piscinas Adultos Piscinas Niños,C 6A # 62 - 59,19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0
453,Unidad Recreativa Santiago De Cali,Cancha Multipe Piscina Niños,C 5E # 46 - 55,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
454,Unidad Recreativa Club Tequendama,Cancha De Futbol 11 Cancha Futbol 8 Cancha Futbol 5 Cancha Baloncesto Cancha Voleibol Cancha Tenis Piscina Adultos Piscina Niños Juegos Infantiles, K 53 # 7 - 111,19,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
455,Kiosco Centro Múltiple Adulto Mayor La Cascada,Kiosco,C 2A # 63A - 35,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
456,Cancha Múltiple Barrio Bella Vista,Cancha Múltiple,K 3 O CON C 14,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
457,Cancha De Futbol El Pascualito,Cancha De Futbol 11 Cancha Futbol 8 (2),K 50 CON C 2,19,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,Cancha De Baloncesto El Refugio,Cancha Baloncesto,C 2A CON K 63A,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
459,Parque Campagnat,,T 19 CON K 18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
460,Cancha Múltiple Barrio Belen ,Cancha Futbol 5 Juegos Infantiles,K 38 CON C 3 O,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
461,Cancha Múltiple El Mango Parte Baja,Cancha Múltiple,D 51 CON C 16 O,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
462,Cancha De Futbol 5 El Pascualito Pueblo Joven,Cancha Futbol 5,K 53 CON C 13 O,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,Cancha De Futbol 5 Los Mangos Pueblo Joven,Cancha Futbol 5 ,K 53 CON C 13A O,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,Cancha De Futbol  Barrio Cañaveralejo,Cancha De Futbol 11,D 53 CON C 12 O,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,Cancha Urbanización Venezuela,Cancha Futbol 8 (2),D 53 CON C 9 O,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,Cancha Múltiple Luis Lopez Mesa,Cancha Múltiple, K 42B Y 43 CON C2,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
467,Polideportivo La Horqueta,Cancha Múltiple Cancha Sintética Juegos Infantiles,C 1 O # 48 - 05,20,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
468,Escuela Luis Lopez Mesa,,K 42B BIS CON C 3 O,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
469,Parque Recreativo Belisario Caicedo,Cancha Múltiple Juegos Infantiles,K 54 CON C 1A,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
470,Unidad Recreativa La Estrella,Cancha De Futbol 11 Cancha Múltiple (2) Piscina Niños,K 42 Y 44 CON C 8 O,20,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0
471,Parque Recreativo Lleras Camargo,Cancha Futbol 5 Juegos Infantiles,K 49A CON C 16 O,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
472,Cancha De Futbol Barrio Pizamos I,Cancha De Futbol 11,C 122D CON K 28F 2,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473,Cancha De Futbol Valle Grande,Cancha Futbol 5,C 84C CON K 20,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,Cancha Múltiple (1) Barrrio Compartir,Cancha Múltiple Juegos Infantiles,C 101D CON K 22A,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
475,Cancha Múltiple (2) Barrio Compartir La Caldera,Cancha Múltiple Juegos Infantiles,C 101D CON K 22B,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
476,Cancha Múltiple (3) Barrio Compartir ,Cancha Múltiple,C 101D CON K 23A,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Cancha Múltiple (4) Barrio Compartir,Cancha Múltiple,C 102 CON K 24B,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
478,Cancha Múltiple (5) Barrio Compartir ,Cancha Múltiple,C 102F Y 102G CON K 24B,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
479,Cancha Múltiple ((6) Barrio Compartir,Cancha Múltiple,C 102 CON K 23B,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Cancha Múltiple Alameda Barrio Sol De Oriente,Cancha De Futbol 11 Cancha Múltiple,C 112 CON K 25,21,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
