No.,Nombre Unidad Recreativa,Escenarios Disponibles ,Direccion,Comuna,Cancha baloncesto,Cancha de tejo,Cancha de tenis,Cancha Futbol 5,Cancha Futbol 8,Cancha Futbol 11,Cancha Hockey,Cancha Multiple,Cancha Sintetica,Cancha Voleibol,Gimnasio,Juegos Biosaludables,Juegos Infantiles,Piscina adultos,Piscina Niños,Pista bicicros,Pista de trote,Pista patinaje,Kiosco,Sauna,Teatrino
239,Parque Recreativo Barrio El Jardín,Cancha Baloncesto Pista Trote Juegos Infantiles,K 27 CON C 37,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
240,Cancha De Futbol Barrio San Carlos,Cancha De Futbol 11 Cancha Futbol5 Cancha Múltiple Cancha Baloncesto Juegos Infantiles,K 33A CON C 30 Y 31,11,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
241,Cancha Múltiple Jose Holgin,Cancha Múltiple,K 48 CON C 26,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
242,Cancha De Baloncesto Barrio San Carlos,Cancha Baloncesto,K 32B Y 33 CON C 31,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,Cancha De Futbol Barrio Primavera,Cancha De Futbol 11 Pista Trote,K 33A Y 34 CON C 34 Y 34B,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
244,Cancha De Baloncesto El Jardín,Cancha Baloncesto,K 29 BIS CON C 29,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,Cancha De Futbol 5 Barrio San Carlos ,Cancha Futbol 5 Juegos Infantiles,K 36AY 37 CON C 31 Y 32,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
247,Cancha De Futbol Barrio Villa Del Sur,Cancha De Futbol 11,K 46 CON C 26 Y 26C,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,Cancha Múltiple Jose Maria Cordoba,Cancha Múltiple,K 33B Y 34 CON C 32A,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Parque Biosaludable Ciudad Modelo,Cancha Múltiple Juegos Infantiles,K 39 CON C  32,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
250,Parque Tertualidero 3° Edad Barrio San Carlos,Cancha Futbol 8 Cancha Futbol 5 Kiosco,K 37 # 32 - 53,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
251,Cancha Múltiple Terpel Ciudad Modelo,Cancha Múltiple,K 41 CON C 31B,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
